t = 2016-06-25 17:30:17.830312, accel = (0.015625, 0.05859375, 0.83203125), gyro = (41, 40, 10), mag = (25.76, 88.32, -537.28), heading = -41, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.847657, accel = (0.01953125, 0.0625, 0.8359375), gyro = (40, 40, 9), mag = (25.76, 88.32, -537.28), heading = -42, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.865176, accel = (0.01953125, 0.0625, 0.84375), gyro = (42, 40, 9), mag = (25.76, 88.32, -537.28), heading = -42, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.882415, accel = (0.01953125, 0.0625, 0.8359375), gyro = (42, 40, 10), mag = (25.76, 88.32, -537.28), heading = -42, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.900229, accel = (0.015625, 0.06640625, 0.8359375), gyro = (41, 41, 9), mag = (21.16, 86.48, -537.28), heading = -43, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.917352, accel = (0.0234375, 0.0625, 0.83203125), gyro = (41, 39, 11), mag = (21.16, 86.48, -537.28), heading = -43, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.934759, accel = (0.015625, 0.06640625, 0.8359375), gyro = (40, 42, 9), mag = (21.16, 86.48, -537.28), heading = -43, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.951887, accel = (0.015625, 0.0625, 0.83984375), gyro = (41, 40, 8), mag = (21.16, 86.48, -537.28), heading = -44, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.969058, accel = (0.0234375, 0.0625, 0.83984375), gyro = (41, 41, 10), mag = (22.08, 86.48, -534.52), heading = -44, pitch = -5, roll = -6
t = 2016-06-25 17:30:17.986573, accel = (0.0234375, 0.05859375, 0.8359375), gyro = (41, 39, 9), mag = (22.08, 86.48, -534.52), heading = -44, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.004510, accel = (0.0234375, 0.0625, 0.83984375), gyro = (41, 39, 10), mag = (22.08, 86.48, -534.52), heading = -45, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.021360, accel = (0.0234375, 0.0625, 0.83203125), gyro = (41, 42, 10), mag = (22.08, 86.48, -534.52), heading = -45, pitch = -5, roll = -5
t = 2016-06-25 17:30:18.038371, accel = (0.01953125, 0.06640625, 0.8359375), gyro = (42, 41, 9), mag = (23.0, 87.4, -537.28), heading = -45, pitch = -5, roll = -5
